Received:
OFF     ON

21860 usec, 1420 usec

460 usec, 1400 usec
440 usec, 440 usec
1300 usec, 1420 usec
440 usec, 1420 usec
440 usec, 1400 usec
460 usec, 440 usec
1300 usec, 480 usec
1300 usec, 460 usec
1300 usec, 500 usec
1280 usec, 480 usec
1300 usec, 480 usec
8260 usec, 1440 usec

420 usec, 1400 usec
440 usec, 480 usec
1300 usec, 1420 usec
440 usec, 1400 usec
420 usec, 1420 usec
460 usec, 460 usec
1280 usec, 480 usec
1300 usec, 480 usec
1300 usec, 480 usec
1280 usec, 480 usec
1300 usec, 480 usec
8420 usec, 1440 usec

440 usec, 1400 usec
420 usec, 480 usec
1300 usec, 1420 usec
420 usec, 1420 usec
460 usec, 1380 usec
440 usec, 460 usec
1300 usec, 480 usec
1300 usec, 480 usec
1300 usec, 480 usec
1280 usec, 480 usec
1300 usec, 480 usec
8260 usec, 1420 usec

460 usec, 1400 usec
420 usec, 480 usec
1300 usec, 1420 usec
440 usec, 1400 usec
460 usec, 1380 usec
420 usec, 480 usec
1300 usec, 480 usec
1300 usec, 480 usec
1280 usec, 500 usec
1280 usec, 480 usec
1300 usec, 480 usec
8420 usec, 1420 usec

460 usec, 1400 usec
440 usec, 460 usec
1300 usec, 1420 usec
460 usec, 1380 usec
460 usec, 1380 usec
460 usec, 460 usec
1280 usec, 480 usec
1300 usec, 480 usec
1300 usec, 480 usec
1280 usec, 480 usec
1300 usec, 480 usec
8260 usec, 1440 usec
420 usec, 1420 usec
460 usec, 440 usec
1300 usec, 1420 usec
440 usec, 1400 usec
460 usec, 1380 usec
460 usec, 440 usec
1300 usec, 480 usec
1300 usec, 460 usec
1320 usec, 460 usec
1300 usec, 480 usec
1300 usec, 480 usec
8420 usec, 1420 usec
460 usec, 1380 usec
460 usec, 460 usec
1280 usec, 1440 usec
440 usec, 1380 usec
440 usec, 1420 usec
420 usec, 480 usec
1300 usec, 460 usec
1300 usec, 480 usec
1300 usec, 480 usec
1300 usec, 460 usec
1300 usec, 500 usec
8260 usec, 1420 usec
440 usec, 1400 usec
420 usec, 480 usec
1300 usec, 1420 usec
440 usec, 1400 usec
460 usec, 1380 usec
460 usec, 460 usec
1280 usec, 480 usec
1300 usec, 480 usec
1280 usec, 500 usec
1280 usec, 480 usec
1300 usec, 480 usec
