Received:
OFF     ON

52012 usec, 1420 usec

460 usec, 1380 usec
460 usec, 440 usec
1300 usec, 1420 usec
460 usec, 1380 usec
460 usec, 1400 usec
460 usec, 1380 usec
460 usec, 440 usec
1300 usec, 480 usec
1300 usec, 460 usec
1300 usec, 480 usec
1300 usec, 480 usec
8260 usec, 1440 usec

440 usec, 1380 usec
460 usec, 460 usec
1300 usec, 1400 usec
460 usec, 1400 usec
460 usec, 1380 usec
460 usec, 1380 usec
460 usec, 440 usec
1300 usec, 480 usec
1300 usec, 480 usec
1300 usec, 460 usec
1300 usec, 480 usec
8440 usec, 1420 usec

460 usec, 1380 usec
460 usec, 440 usec
1300 usec, 1420 usec
460 usec, 1380 usec
460 usec, 1380 usec
460 usec, 1400 usec
440 usec, 460 usec
1300 usec, 460 usec
1300 usec, 480 usec
1300 usec, 480 usec
1300 usec, 460 usec
8280 usec, 1420 usec

460 usec, 1380 usec
460 usec, 440 usec
1300 usec, 1420 usec
460 usec, 1400 usec
440 usec, 1380 usec
480 usec, 1380 usec
460 usec, 440 usec
1300 usec, 480 usec
1300 usec, 460 usec
1300 usec, 480 usec
1300 usec, 480 usec
8420 usec, 1420 usec
460 usec, 1380 usec
460 usec, 460 usec
1280 usec, 1420 usec
460 usec, 1400 usec
440 usec, 1400 usec
440 usec, 1400 usec
460 usec, 440 usec
1300 usec, 480 usec
1300 usec, 480 usec
1300 usec, 460 usec
1300 usec, 480 usec
8260 usec, 1420 usec
460 usec, 1380 usec
460 usec, 460 usec
1280 usec, 1440 usec
440 usec, 1380 usec
480 usec, 1380 usec
460 usec, 1380 usec
460 usec, 440 usec
1300 usec, 480 usec
1300 usec, 480 usec
1300 usec, 460 usec
1300 usec, 480 usec
8440 usec, 1400 usec
460 usec, 1400 usec
460 usec, 440 usec
1300 usec, 1420 usec
460 usec, 1380 usec
460 usec, 1380 usec
460 usec, 1380 usec
460 usec, 460 usec
1280 usec, 480 usec
1300 usec, 480 usec
1300 usec, 480 usec
1300 usec, 480 usec
8260 usec, 1420 usec
460 usec, 1380 usec
460 usec, 440 usec
1300 usec, 1420 usec
460 usec, 1380 usec
460 usec, 1400 usec
440 usec, 1400 usec
460 usec, 440 usec
1300 usec, 480 usec
1280 usec, 480 usec
1300 usec, 480 usec
1300 usec, 480 usec
